bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,publication_date_valid,primary_author,publication_year,publication_month,rating_bucket,review_to_rating_ratio
7580,Iran Awakening: A Memoir of Revolution and Hope,Shirin Ebadi,4.14,1400064708,9781400064700,eng,232.0,3187,267.0,2006-05-02,Random House (NY),True,Shirin Ebadi,2006.0,5.0,4-4.5,0.08377784750549105
7581,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Mark Nepo,4.31,1573241172,645241001173,eng,438.0,5495,295.0,2000-05-31,Conari Press,True,Mark Nepo,2000.0,5.0,4-4.5,0.05368516833484986
7582,Awakening Intuition: Using Your Mind-Body Network for Insight and Healing,Mona Lisa Schulz/Christiane Northrup,3.93,0609804243,9780609804247,eng,397.0,317,32.0,1999-04-20,Three Rivers Press,True,Mona Lisa Schulz,1999.0,4.0,3-4,0.10094637223974763
7584,The Grace Awakening: Believing in Grace Is One Thing. Living it Is Another,Charles R. Swindoll,4.33,0849911885,9780849911880,eng,306.0,2068,63.0,2006-11-19,Thomas Nelson,True,Charles R. Swindoll,2006.0,11.0,4-4.5,0.0304642166344294
7585,Spring's Awakening,Frank Wedekind/Eric Bentley,3.8,1557832455,9781557832450,eng,126.0,3378,137.0,2000-04-01,Applause Books,True,Frank Wedekind,2000.0,4.0,3-4,0.040556542332741266
7586,Awakening at Midlife: A Guide to Reviving Your Spirit  Recreating Your Life  and Returning to Your Truest Self,Kathleen A. Brehony,3.99,1573226327,9781573226325,eng,384.0,64,8.0,1997-09-01,Riverhead Books,True,Kathleen A. Brehony,1997.0,9.0,3-4,0.125
7588,A Portrait of the Artist as a Young Man,James Joyce/Seamus Deane,3.61,0142437344,9780142437346,eng,329.0,108179,3536.0,2003-03-25,Penguin Classics,True,James Joyce,2003.0,3.0,3-4,0.032686565784486823
7590,A Portrait of the Artist As a Young Man,James Joyce/Walter Hettche/Hans Walter Gabler/John Paul Riquelme/John Mitchel/Michael Davitt/Canon  Doyle/Pádraic Pearse/Ignatius of Loyola/Giovanni Pietro Pinamont/Walter Pater/Oscar Wilde/Douglas Hyde/Kenneth Burke/Umberto Eco/Hugh Kenner/Hélène Cixous/Karen Lawrence/Maud Ellmann/Bonnie Kime Scott/Joseph Valente/Marian Eide/Pericles Lewis/Jonathan Mulrooney/J.M. Synge,3.61,0393926796,9780393926798,eng,490.0,359,35.0,2007-05-01,W. W. Norton & Company,True,James Joyce,2007.0,5.0,3-4,0.09749303621169916
7591,A Portrait of the Artist as a Young Man,James Joyce/Jim Norton,3.61,9626343664,9789626343661,eng,368.0,27,8.0,2005-08-01,Naxos Audiobooks,True,James Joyce,2005.0,8.0,3-4,0.2962962962962963
7592,A Portrait of the Artist as a Young Man,James Joyce/Langdon Hammer,3.61,0451530152,9780451530158,eng,256.0,419,46.0,2006-06-06,Signet Classics,True,James Joyce,2006.0,6.0,3-4,0.10978520286396182
7596,Vincent Van Gogh: Portrait of an Artist,Jan Greenberg/Sandra Jordan,3.94,0440419174,9780440419174,eng,144.0,220,38.0,2003-01-14,Yearling,True,Jan Greenberg,2003.0,1.0,3-4,0.17272727272727273
7598,A Study Guide to Gabriel Garcia Marquez' One Hundred Years of Solitude,Gabriel García Márquez/Brenda K. Marshall/F. Murray Abraham,4.11,1570421129,9781570421129,eng,,75,2.0,2006-04-01,Warner Adult,True,Gabriel García Márquez,2006.0,4.0,4-4.5,0.02666666666666667
7599,One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,4.07,006112009X,9780061120091,eng,448.0,1608,212.0,2006-05-30,Harper Perennial Modern Classics,True,Gabriel García Márquez,2006.0,5.0,4-4.5,0.1318407960199005
7600,One Hundred Years Of Solitude,Gabriel García Márquez,4.07,1857152239,9781857152234,eng,416.0,376,53.0,1995-09-21,Everyman,True,Gabriel García Márquez,1995.0,9.0,4-4.5,0.14095744680851063
7603,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.61,081297106X,9780812971064,eng,356.0,106493,6561.0,2003-12-30,Random House Trade Paperbacks,True,Azar Nafisi,2003.0,12.0,3-4,0.06160968326556675
7606,The Annotated Lolita,Vladimir Nabokov/Alfred Appel,4.28,0679727299,9780679727293,eng,457.0,2965,358.0,1991-04-23,Vintage Books,True,Vladimir Nabokov,1991.0,4.0,4-4.5,0.12074198988195615
7608,Lolita,Vladimir Nabokov/Jeremy Irons,3.89,0739322060,9780739322062,eng,12.0,787,239.0,2005-04-26,Random House Audio,True,Vladimir Nabokov,2005.0,4.0,3-4,0.3036848792884371
7609,Nacho and Lolita,Pam Muñoz Ryan/Claudia Rueda,3.97,0439269687,9780439269681,eng,40.0,34,5.0,2005-10-01,Scholastic Press,True,Pam Muñoz Ryan,2005.0,10.0,3-4,0.14705882352941177
7610,Reading Lolita in Tehran,Azar Nafisi,3.61,0007178484,9780007178483,eng,343.0,325,56.0,2004-01-02,Fourth Estate,True,Azar Nafisi,2004.0,1.0,3-4,0.1723076923076923
7611,sex.lies.murder.fame.,Lolita Files,3.79,0060786809,9780060786809,eng,368.0,205,27.0,2006-01-10,Amistad,True,Lolita Files,2006.0,1.0,3-4,0.13170731707317074
7613,Animal Farm,George Orwell/Boris Grabnar/Peter Škerl,3.93,0452284244,9780452284241,eng,122.0,2111750,29677.0,2003-05-06,NAL,True,George Orwell,2003.0,5.0,3-4,0.014053273351485734
7615,Farm Animals (A Chunky Book),Phoebe Dunn,3.86,0394862546,9780394862545,eng,28.0,35,4.0,1984-02-12,Random House Books for Young Readers,True,Phoebe Dunn,1984.0,2.0,3-4,0.11428571428571428
7624,Lord of the Flies,William Golding,3.68,0140283331,9780140283334,eng,182.0,2036679,26199.0,1999-10-01,Penguin Books,True,William Golding,1999.0,10.0,3-4,0.012863588223770168
7633,Good Soldier Svejk And His Fortunes In The World,Jaroslav Hašek,4.11,0141184280,9780141184289,eng,752.0,91,10.0,2000-10-03,Penguin Classic,True,Jaroslav Hašek,2000.0,10.0,4-4.5,0.10989010989010989
7637,The Good Soldier,Ford Madox Ford/Frank Kermode,3.72,1593082681,9781593082680,eng,256.0,264,35.0,2005-03-28,Barnes  Noble Classics,True,Ford Madox Ford,2005.0,3.0,3-4,0.13257575757575757
7656,Fahrenheit 451,Ray Bradbury,3.99,8445074873,9788445074879,eng,186.0,5733,606.0,2004-04-01,Del Rey,True,Ray Bradbury,2004.0,4.0,3-4,0.10570381998953428
7661,Next,Michael Crichton,3.5,0060872985,9780060872984,eng,431.0,59354,2540.0,2006-11-28,Harper,True,Michael Crichton,2006.0,11.0,3-4,0.04279408295986791
7662,Three Complete Novels: The Andromeda Strain / The Terminal Man / The Great Train Robbery,Michael Crichton,4.06,0517084791,9780517084793,eng,688.0,1004,31.0,1993-03-01,Wings,True,Michael Crichton,1993.0,3.0,4-4.5,0.030876494023904383
7663,A Case of Need,Jeffery Hudson/Michael Crichton,3.72,0451210638,9780451210630,eng,416.0,17135,654.0,2003-08-05,Signet,True,Jeffery Hudson,2003.0,8.0,3-4,0.03816749343449081
7664,A New Collection of Three Complete Novels: Congo / Sphere / Eaters of the Dead,Michael Crichton,3.99,0517101351,9780517101353,eng,720.0,960,27.0,1994-03-06,Wings Books,True,Michael Crichton,1994.0,3.0,3-4,0.028125
7665,Travels,Michael Crichton,3.95,0060509058,9780060509057,eng,400.0,7084,514.0,2002-11-05,Harpperen,True,Michael Crichton,2002.0,11.0,3-4,0.07255787690570299
7668,Rising Sun,Michael Crichton,3.63,0606298231,9780606298230,eng,399.0,42645,717.0,2004-08-30,Turtleback Books,True,Michael Crichton,2004.0,8.0,3-4,0.016813225466056982
7670,The Andromeda Strain (Andromeda  #1),Michael Crichton,3.89,0060541814,9780060541811,eng,327.0,202043,2850.0,2003-10-28,Avon Books,True,Michael Crichton,2003.0,10.0,3-4,0.014105908148265468
7672,Congo,Michael Crichton,3.59,0060541830,9780060541835,eng,442.0,144636,1546.0,2003-10-28,Avon Books,True,Michael Crichton,2003.0,10.0,3-4,0.010688901794850521
7673,Eaters of the Dead,Michael Crichton,3.67,0060891564,9780060891565,eng,304.0,28367,1096.0,2006-08-29,Avon,True,Michael Crichton,2006.0,8.0,3-4,0.03863644375506751
7674,The Michael Crichton Collection: Airframe / The Lost World / Timeline,Michael Crichton/Stephen Lang/Anthony Heald/Blair Brown,4.16,0739340336,9780739340332,eng,,267,7.0,2006-08-29,Random House Audio,True,Michael Crichton,2006.0,8.0,4-4.5,0.026217228464419477
7677,Jurassic Park (Jurassic Park  #1),Michael Crichton,4.02,030734813X,9780307348135,spa,480.0,451443,3647.0,2006-04-04,Plaza y Janes,True,Michael Crichton,2006.0,4.0,4-4.5,0.008078539261878022
7679,The Terminal Man,Michael Crichton,3.36,0060092572,9780060092573,eng,266.0,21457,576.0,2002-11-05,Avon,True,Michael Crichton,2002.0,11.0,3-4,0.02684438644731323
7681,Five Patients,Michael Crichton,3.48,0345354648,9780345354648,eng,204.0,4828,97.0,1989-01-13,Ballantine Books,True,Michael Crichton,1989.0,1.0,3-4,0.02009113504556752
7684,Twister,Michael Crichton/Anne-Marie Martin,3.63,0345409701,9780345409706,eng,182.0,18,1.0,1999-04-07,Ballantine Books,True,Michael Crichton,1999.0,4.0,3-4,0.05555555555555555
7687,Peter Pan and Other Plays,J.M. Barrie/Peter Hollindale,3.97,0192839195,9780192839190,eng,384.0,366,21.0,1999-07-15,Oxford University Press,True,J.M. Barrie,1999.0,7.0,3-4,0.05737704918032787
7694,Management Information Systems: Managing the Digital Firm,Kenneth C. Laudon/Jane P. Laudon,3.5,0131538411,9780131538412,eng,736.0,231,16.0,2005-03-01,Prentice Hall,True,Kenneth C. Laudon,2005.0,3.0,3-4,0.06926406926406926
7695,Holy the Firm,Annie Dillard,4.22,0060915439,9780060915438,eng,76.0,3722,339.0,1998-12-30,Harper Perennial,True,Annie Dillard,1998.0,12.0,4-4.5,0.09108006448146158
7697,Persian Mirrors: The Elusive Face of Iran,Elaine Sciolino,3.82,0743284798,9780743284790,eng,432.0,546,53.0,2005-10-03,Free Press,True,Elaine Sciolino,2005.0,10.0,3-4,0.09706959706959707
7700,Plays: Mrs Warren's Profession/Man and Superman/Major Barbara/Pygmalion,George Bernard Shaw/Sandie Byrne,3.94,0393977536,9780393977530,eng,551.0,125,6.0,2002-05-16,W.W. Norton & Company,True,George Bernard Shaw,2002.0,5.0,3-4,0.048
7707,Pygmalion & My Fair Lady,George Bernard Shaw/Alan Jay Lerner,4.26,0451530098,9780451530097,eng,240.0,14962,61.0,2006-03-07,Signet,True,George Bernard Shaw,2006.0,3.0,4-4.5,0.004076995054137148
7708,Saint Joan/Major Barbara/Androcles and the Lion,George Bernard Shaw,3.67,0394604806,9780394604800,eng,479.0,11,5.0,1979-11-12,Modern Library/Random House (NY),True,George Bernard Shaw,1979.0,11.0,3-4,0.45454545454545453
7714,Pygmalion,George Bernard Shaw,3.9,0486282228,9780486282220,eng,82.0,76944,1636.0,1994-10-20,Dover Publications,True,George Bernard Shaw,1994.0,10.0,3-4,0.02126221667706384
7716,Plays Pleasant,George Bernard Shaw/Dan H. Laurence/W.J. McCormack,3.9,0140437940,9780140437942,eng,336.0,265,10.0,2003-03-27,Penguin Classics,True,George Bernard Shaw,2003.0,3.0,3-4,0.03773584905660377
7717,The Metamorphosis,Peter Kuper/Franz Kafka/Kerstin Hasenpusch,3.79,1400047951,9781400047956,eng,78.0,181,26.0,2003-08-05,Crown,True,Peter Kuper,2003.0,8.0,3-4,0.143646408839779
7718,The Metamorphosis (Graphic Novel Adaptation),Peter Kuper/Franz Kafka/Kerstin Hasenpusch,3.79,1400052998,9781400052998,eng,80.0,3192,307.0,2004-07-20,Broadway Books,True,Peter Kuper,2004.0,7.0,3-4,0.09617794486215539
7721,The Metamorphosis,Franz Kafka/Stanley Corngold,3.81,0393967972,9780393967975,eng,232.0,663,48.0,1996-02-17,W. W. Norton & Company,True,Franz Kafka,1996.0,2.0,3-4,0.07239819004524888
7723,The Metamorphosis and Other Stories,Franz Kafka/Jason Baker/Donna Freed,4.03,1593080298,9781593080297,eng,224.0,38114,793.0,2003-07-01,Barnes  Noble Classics,True,Franz Kafka,2003.0,7.0,4-4.5,0.020806003043501074
7724,The Metamorphosis and Other Stories,Franz Kafka/Stanley Appelbaum,4.03,0486290301,9780486290300,eng,88.0,2474,126.0,1996-04-12,Dover Publications,True,Franz Kafka,1996.0,4.0,4-4.5,0.05092966855295069
7731,Antigone's Claim: Kinship Between Life and Death,Judith Butler,3.76,0231118953,9780231118958,eng,118.0,433,20.0,2002-05-23,Columbia University Press,True,Judith Butler,2002.0,5.0,3-4,0.046189376443418015
7733,Gulliver's Travels,Jonathan Swift/Robert DeMaria Jr.,3.57,0141439491,9780141439495,eng,306.0,194738,3485.0,2003-01-30,Penguin,True,Jonathan Swift,2003.0,1.0,3-4,0.017895839538251395
7734,Gulliver's Travels,Jonathan Swift/Claude Julien Rawson/Ian Higgins,3.57,0192805347,9780192805348,eng,422.0,258,21.0,2005-03-10,Oxford University Press,True,Jonathan Swift,2005.0,3.0,3-4,0.08139534883720931
7737,Gulliver's Travels,Jonathan Swift/David Case,3.57,1400102723,9781400102723,eng,,4,1.0,2006-10-01,Tantor Media,True,Jonathan Swift,2006.0,10.0,3-4,0.25
7739,Gulliver's Travels,Gill Harvey/Jonathan Swift,3.35,0794503292,9780794503291,eng,64.0,13,3.0,2008-01-29,Usborne Books,True,Gill Harvey,2008.0,1.0,3-4,0.23076923076923078
7740,Gulliver's Travels,Martin Woodside/Jamel Akib/Arthur Pober/Jonathan Swift,3.97,1402726627,9781402726620,eng,160.0,933,26.0,2006-03-28,Sterling,True,Martin Woodside,2006.0,3.0,3-4,0.027867095391211148
7741,Gulliver's Travels,Jonathan Swift/Robert Hardy,3.57,1844560341,9781844560349,eng,3.0,8,0.0,2001-01-01,Hodder Audio,True,Jonathan Swift,2001.0,1.0,3-4,0.0
7742,Ahab's Wife  or The Star-Gazer,Sena Jeter Naslund,4.03,0060838744,9780060838744,eng,704.0,40049,2391.0,2005-08-02,William Morrow Paperbacks,True,Sena Jeter Naslund,2005.0,8.0,4-4.5,0.05970186521511149
7747,Fear and Loathing in Las Vegas,Hunter S. Thompson/Ralph Steadman,4.08,0007204493,9780007204496,eng,230.0,3472,251.0,2005-04-04,Harper Perennial,True,Hunter S. Thompson,2005.0,4.0,4-4.5,0.0722926267281106
7748,Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,4.12,0446698229,9780446698221,eng,481.0,17227,662.0,2006-10-01,Warner Books (NY),True,Hunter S. Thompson,2006.0,10.0,4-4.5,0.038428048992860044
7749,Fear and Loathing in Las Vegas,Hunter S. Thompson/Ralph Steadman,4.08,0446313939,9780446313933,eng,208.0,274,28.0,1982-12-01,Warner Books,True,Hunter S. Thompson,1982.0,12.0,4-4.5,0.10218978102189781
7752,Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist  1968-1976,Hunter S. Thompson,4.08,0684873168,9780684873169,eng,784.0,3787,84.0,2001-12-04,Simon  Schuster,True,Hunter S. Thompson,2001.0,12.0,4-4.5,0.022181146025878003
7757,Cliffsnotes on Beckett's Waiting for Godot and Other Plays,James Lamar Roberts/Jeffrey Fisher,3.67,0822013541,9780822013549,eng,72.0,3,0.0,1980-07-28,Cliffs Notes,True,James Lamar Roberts,1980.0,7.0,3-4,0.0
7763,The Joy Luck Club,Amy Tan,3.92,0143038095,9780143038092,eng,288.0,565524,7255.0,2006-09-21,Penguin Books,True,Amy Tan,2006.0,9.0,3-4,0.012828810094708624
7769,Dr. Seuss's ABC,Dr. Seuss,4.08,0679882812,9780679882817,eng,21.0,27139,731.0,1996-11-26,Random House,True,Dr. Seuss,1996.0,11.0,4-4.5,0.02693540661041306
7772,Dr. Seuss's Sleep Book,Dr. Seuss,4.17,0394800915,9780394800912,eng,58.0,8967,351.0,2012-07-24,New York: Random House,True,Dr. Seuss,2012.0,7.0,4-4.5,0.039143526262964204
7775,Happy Birthday to You!,Dr. Seuss,4.13,0394800761,9780394800769,eng,64.0,4344,262.0,1959-08-12,Random House Books for Young Readers,True,Dr. Seuss,1959.0,8.0,4-4.5,0.06031307550644567
7777,McElligot's Pool,Dr. Seuss,4.06,0394800834,9780394800837,eng,64.0,4560,253.0,1947-09-12,Random House Books for Young Readers,True,Dr. Seuss,1947.0,9.0,4-4.5,0.055482456140350876
7778,The Cat in the Hat,Dr. Seuss,4.17,0679891110,9780679891116,eng,61.0,289,4.0,1997-11-11,Random House Books for Young Readers,True,Dr. Seuss,1997.0,11.0,4-4.5,0.01384083044982699
7779,Horton Hears a Who!,Dr. Seuss,4.18,0679800034,9780679800033,eng,64.0,89920,1207.0,1990-10-10,Random House Books for Young Readers,True,Dr. Seuss,1990.0,10.0,4-4.5,0.013423042704626334
7781,The 500 Hats of Bartholomew Cubbins,Dr. Seuss,4.04,039484484X,9780394844848,eng,56.0,13097,324.0,1989-12-09,Random House Books for Young Readers,True,Dr. Seuss,1989.0,12.0,4-4.5,0.024738489730472626
7783,Oh Say Can You Say?,Dr. Seuss,4.01,0007175221,9780007175222,eng,36.0,5868,162.0,2005-11-01,London : Collins  2004.,True,Dr. Seuss,2005.0,11.0,4-4.5,0.027607361963190184
7784,The Lorax,Dr. Seuss,4.35,0679889108,9780679889106,eng,72.0,260054,3532.0,1998-02-24,Random House Books for Young Readers,True,Dr. Seuss,1998.0,2.0,4-4.5,0.013581794550362618
7785,I Can Read With My Eyes Shut!,Dr. Seuss,4.2,0007158513,9780007158515,eng,48.0,16917,444.0,2003-05-06,HarperCollinsChildren’sBooks,True,Dr. Seuss,2003.0,5.0,4-4.5,0.026245788260329847
7786,¡Horton escucha a quién!,Dr. Seuss/Yanitzia Canetti,4.18,1930332351,9781930332355,spa,64.0,29,4.0,2003-03-01,Lectorum Publications,True,Dr. Seuss,2003.0,3.0,4-4.5,0.13793103448275862
7788,The Cat in the Hat and Other Dr. Seuss Favorites,Dr. Seuss/Various,4.42,0807218731,9780807218730,eng,61.0,50844,160.0,2003-10-14,Listening Library (Audio),True,Dr. Seuss,2003.0,10.0,4-4.5,0.003146880654551176
7789,Daisy-Head Mayzie,Dr. Seuss,3.87,0679867120,9780679867128,eng,56.0,3196,137.0,1995-01-11,Random House Books for Young Readers,True,Dr. Seuss,1995.0,1.0,3-4,0.042866082603254065
7791,Dr. Seuss Goes to War: The World War II Editorial Cartoons of Theodor Seuss Geisel,Richard H. Minear/Art Spiegelman/Dr. Seuss,4.16,1565847040,9781565847040,eng,272.0,1282,102.0,2001-09-01,The New Press,True,Richard H. Minear,2001.0,9.0,4-4.5,0.07956318252730109
7793,Dr. Seuss's ABC (Book & CD),Dr. Seuss,4.08,0375834966,9780375834967,eng,64.0,8,0.0,2005-01-05,Random House Books for Young Readers,True,Dr. Seuss,2005.0,1.0,4-4.5,0.0
7796,Cattus Petasatus: The Cat in the Hat in Latin,Dr. Seuss/Jennifer Morrish Tunberg/Terence Tunberg/Terence O. Tunberg/Guenevera Tunberg/Terentio Tunberg,4.17,0865164711,9780865164710,lat,75.0,63,9.0,2005-05-06,Bolchazy-Carducci Publishers,True,Dr. Seuss,2005.0,5.0,4-4.5,0.14285714285714285
7797,Ten Apples Up On Top!,Theo LeSieg/Dr. Seuss/Roy McKie,4.12,0007169973,9780007169979,eng,62.0,31251,494.0,2003-08-04,HarperCollinsChildren’sBooks,True,Theo LeSieg,2003.0,8.0,4-4.5,0.015807494160186873
7803,The Legacy of Luna: The Story of a Tree  a Woman  and the Struggle to Save the Redwoods,Julia Butterfly Hill,3.95,0062516590,9780062516596,eng,262.0,1844,220.0,2001-04-03,HarperOne,True,Julia Butterfly Hill,2001.0,4.0,3-4,0.1193058568329718
7805,Pale Fire,Vladimir Nabokov,4.15,0141185260,9780141185262,eng,246.0,32544,1610.0,2000-08-31,Penguin Books Ltd,True,Vladimir Nabokov,2000.0,8.0,4-4.5,0.04947148475909538
7806,Nabokov's Pale Fire: The Magic of Artistic Discovery,Brian Boyd,4.22,0691089574,9780691089577,eng,320.0,172,22.0,2001-11-04,Princeton University Press,True,Brian Boyd,2001.0,11.0,4-4.5,0.12790697674418605
7807,Novels 1955–1962: Lolita / Pnin / Pale Fire / Lolita: A Screenplay,Vladimir Nabokov/Brian Boyd,4.41,1883011191,9781883011192,eng,916.0,547,39.0,1996-10-01,Library of America,True,Vladimir Nabokov,1996.0,10.0,4-4.5,0.0712979890310786
7811,A Friend of the Earth,T. Coraghessan Boyle,3.67,0747553467,9780747553465,eng,275.0,30,3.0,2001-10-08,Bloomsbury Paperbacks,True,T. Coraghessan Boyle,2001.0,10.0,3-4,0.1
7815,The Year of Magical Thinking,Joan Didion,3.89,1400078431,9781400078431,eng,227.0,120758,8711.0,2007-02-13,Vintage,True,Joan Didion,2007.0,2.0,3-4,0.07213600755229467
7821,Seduction and Betrayal: Women and Literature,Elizabeth Hardwick/Joan Didion,4.01,0940322781,9780940322783,eng,224.0,269,26.0,2001-08-31,NYRB Classics,True,Elizabeth Hardwick,2001.0,8.0,4-4.5,0.09665427509293681
7830,After Henry,Joan Didion,3.83,0679745394,9780679745396,eng,320.0,1205,100.0,1993-04-27,Vintage,True,Joan Didion,1993.0,4.0,3-4,0.08298755186721991
7838,O Ano do Pensamento Mágico,Joan Didion,3.89,8520918867,9788520918869,por,224.0,82,9.0,2006-05-24,Nova Fronteira,True,Joan Didion,2006.0,5.0,3-4,0.10975609756097561
7841,Another Day in Paradise: The Fourth Sherman's Lagoon Collection,Jim Toomey,4.35,0740720120,9780740720123,eng,130.0,68,1.0,2001-09-06,Andrews McMeel Publishing,True,Jim Toomey,2001.0,9.0,4-4.5,0.014705882352941176
7842,Another Day in Cubicle Paradise,Scott Adams,4.01,0740721941,9780740721946,eng,128.0,416,11.0,2002-03-01,Andrews McMeel Publishing,True,Scott Adams,2002.0,3.0,4-4.5,0.026442307692307692
7845,Moby Dick,Herman Melville,3.5,0140620621,9780140620627,eng,536.0,701,78.0,1994-01-01,Penguin Books/Penguin Popular Classics,True,Herman Melville,1994.0,1.0,3-4,0.11126961483594865
7847,Moby-Dick,Herman Melville/Nathaniel Philbrick,3.5,0142000086,9780142000083,eng,625.0,1022,165.0,2001-09-01,Penguin Books,True,Herman Melville,2001.0,9.0,3-4,0.16144814090019569
7848,Moby-Dick; or  The Whale,Herman Melville/Rockwell Kent/Elizabeth Hardwick,3.5,067978327X,9780679783275,eng,896.0,557,87.0,2000-10-10,Modern Library,True,Herman Melville,2000.0,10.0,3-4,0.1561938958707361
7849,Moby Dick  or The Whale,Herman Melville/Harrison Hayford/Hershel Parker,3.5,0810119110,9780810119116,eng,573.0,106,19.0,2001-09-19,Northwestern University Press,True,Herman Melville,2001.0,9.0,3-4,0.1792452830188679
7850,The Girl in the Flammable Skirt,Aimee Bender,3.88,0385492162,9780385492164,eng,192.0,6591,661.0,1999-08-17,Anchor,True,Aimee Bender,1999.0,8.0,3-4,0.10028827188590503
7855,Planet of Slums,Mike  Davis,3.92,1844670228,9781844670222,eng,228.0,1727,173.0,2006-03-01,Verso,True,Mike  Davis,2006.0,3.0,3-4,0.10017371163867979
7859,Late Victorian Holocausts: El Niño Famines and the Making of the Third World,Mike  Davis,4.11,1859843824,9781859843826,eng,474.0,1021,101.0,2002-06-17,Verso,True,Mike  Davis,2002.0,6.0,4-4.5,0.098922624877571
7861,No One Is Illegal: Fighting Racism and State Violence on the U.S.-Mexico Border,Justin Akers Chacón/Mike  Davis,4.08,1931859353,9781931859356,eng,240.0,237,22.0,2006-04-01,Haymarket Books,True,Justin Akers Chacón,2006.0,4.0,4-4.5,0.09282700421940929
7865,Days Between Stations,Steve Erickson,4.0,0743265696,9780743265690,eng,256.0,709,49.0,2005-02-09,Simon & Schuster,True,Steve Erickson,2005.0,2.0,3-4,0.0691114245416079
7869,The Bourne Identity (Jason Bourne  #1),Robert Ludlum,4.02,0752864327,9780752864327,eng,566.0,368195,3556.0,2005-03-24,Orion,True,Robert Ludlum,2005.0,3.0,4-4.5,0.009657925827346921
7881,Little Plum,Rumer Godden/Jean Primrose,4.22,0140307370,9780140307375,eng,144.0,11,1.0,1987-08-01,Puffin Books,True,Rumer Godden,1987.0,8.0,4-4.5,0.09090909090909091
7890,Betsy's Wedding (Betsy-Tacy  #10),Maud Hart Lovelace/Vera Neville,4.31,0064405443,9780064405447,eng,260.0,4169,155.0,1996-03-31,HarperTrophy,True,Maud Hart Lovelace,1996.0,3.0,4-4.5,0.03717917965939074
7891,Betsy and the Great World (Betsy-Tacy  #9),Maud Hart Lovelace/Vera Neville,4.14,0064405451,9780064405454,eng,321.0,4747,148.0,1996-03-31,HarperTrophy,True,Maud Hart Lovelace,1996.0,3.0,4-4.5,0.031177585843690753
7894,Betsy and Tacy Go Over the Big Hill (Betsy-Tacy  #3),Maud Hart Lovelace/Lois Lenski,4.18,0064400999,9780064400992,eng,192.0,7809,186.0,2000-04-05,HarperCollins,True,Maud Hart Lovelace,2000.0,4.0,4-4.5,0.023818670764502496
7895,Maud Hart Lovelace's Deep Valley: A Guidebook of Mankato Places in the Betsy-Tacy Series,Julie A. Schrader,4.29,0971316821,9780971316829,eng,325.0,58,8.0,2002-12-31,Minnesota Heritage Publishing,True,Julie A. Schrader,2002.0,12.0,4-4.5,0.13793103448275862
7896,Early Candlelight,Maud Hart Lovelace/Rhoda R. Gilman,3.69,0873512693,9780873512695,eng,342.0,184,30.0,1992-08-15,Minnesota Historical Society Press,True,Maud Hart Lovelace,1992.0,8.0,3-4,0.16304347826086957
7898,Betsy and Joe (Betsy-Tacy  #8),Maud Hart Lovelace/Vera Neville,4.31,006440546X,9780064405461,eng,336.0,4586,119.0,1995-03-31,HarperTrophy,True,Maud Hart Lovelace,1995.0,3.0,4-4.5,0.025948539031836023
7901,Betsy Was a Junior (Betsy-Tacy  #7),Maud Hart Lovelace/Vera Neville,4.17,0064405478,9780064405478,eng,320.0,4839,126.0,1995-03-31,HarperTrophy,True,Maud Hart Lovelace,1995.0,3.0,4-4.5,0.026038437693738377
7905,Betsy and Tacy Go Downtown (Betsy-Tacy  #4),Maud Hart Lovelace/Lois Lenski,4.21,0690134495,9780690134490,eng,180.0,70,7.0,1943-01-01,Thomas Y. Crowell Company,True,Maud Hart Lovelace,1943.0,1.0,4-4.5,0.1
7906,Emily of Deep Valley (Deep Valley  #2),Maud Hart Lovelace/Vera Neville,4.23,0064408582,9780064408585,eng,304.0,2722,151.0,2000-12-31,HarperTrophy,True,Maud Hart Lovelace,2000.0,12.0,4-4.5,0.05547391623806025
7909,Betsy-Tacy (Betsy-Tacy  #1),Maud Hart Lovelace/Lois Lenski,4.07,0064400964,9780064400961,eng,144.0,20976,935.0,2007-08-14,HarperCollins,True,Maud Hart Lovelace,2007.0,8.0,4-4.5,0.044574752097635395
7911,Five Little Peppers and How They Grew (Five Little Peppers  #1),Margaret Sidney,4.03,1416916172,9781416916178,eng,352.0,22023,395.0,2006-06-01,Aladdin,True,Margaret Sidney,2006.0,6.0,4-4.5,0.017935794396767017
7914,Five Little Peppers at School,Margaret Sidney/Barbara Cooney,3.92,044040035X,9780440400356,eng,320.0,243,7.0,1988-01-01,Yearling,True,Margaret Sidney,1988.0,1.0,3-4,0.02880658436213992
7924,All-of-a-Kind Family Uptown (All-of-a-Kind-Family  #4),Sydney Taylor,4.28,0929093097,9780929093093,eng,160.0,5702,65.0,2001-04-01,Taylor Productions Ltd,True,Sydney Taylor,2001.0,4.0,4-4.5,0.011399508944230094
7926,All-of-a-Kind Family (All-of-a-Kind-Family  #1),Sydney Taylor,4.22,0385732953,9780385732956,eng,188.0,21620,836.0,2005-08-23,Delacorte Press,True,Sydney Taylor,2005.0,8.0,4-4.5,0.03866790009250694
